id,level,cefr,level_title,function,pattern_no,variation_no,expression,meaning_ko,example_en,example_ko,dialogue_en,dialogue_ko,situation_ko,note_ko,memory_chunk,cloze_prompt,reverse_prompt_ko,memory_tip_ko,confusion_note_ko,review_steps_ko,tags,practice_prompt_ko
11,1,A1,survival chunks,asking,1,11,I want to take a look,한번 보고 싶다,I want to take a look.,이 예문은 '한번 보고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to take a look. / B: Of course. Give me a moment.,A: 한번 보고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to take a look,I want ____ take a look | answer: to,"원하는 것, 허락, 부탁을 말할 때: '한번 보고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to take a look'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 한번 보고 싶다 -> 2 끊어 읽기: I want / to take a look -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '한번 보고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
12,1,A1,survival chunks,asking,1,12,I want to make a note,메모하고 싶다,You want to make a note.,이 예문은 '메모하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to make a note. / B: Of course. Give me a moment.,A: 메모하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to make a note,I want ____ make a note | answer: to,"원하는 것, 허락, 부탁을 말할 때: '메모하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to make a note'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 메모하고 싶다 -> 2 끊어 읽기: I want / to make a note -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '메모하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
13,1,A1,survival chunks,asking,1,13,I want to set it up,그걸 설정하고 싶다,We want to set it up.,이 예문은 '그걸 설정하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to set it up. / B: Of course. Give me a moment.,A: 그걸 설정하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to set it up,I want ____ set it up | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 설정하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to set it up'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 설정하고 싶다 -> 2 끊어 읽기: I want / to set it up -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 설정하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
14,1,A1,survival chunks,asking,1,14,I want to figure it out,그걸 알아내고 싶다,They want to figure it out.,이 예문은 '그걸 알아내고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to figure it out. / B: Of course. Give me a moment.,A: 그걸 알아내고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to figure it out,I want ____ figure it out | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 알아내고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to figure it out'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 알아내고 싶다 -> 2 끊어 읽기: I want / to figure it out -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 알아내고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
15,1,A1,survival chunks,asking,1,15,I want to put it away,그걸 치우고 싶다,My friend wants to put it away.,이 예문은 '그걸 치우고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to put it away. / B: Of course. Give me a moment.,A: 그걸 치우고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to put it away,I want ____ put it away | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 치우고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to put it away'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 치우고 싶다 -> 2 끊어 읽기: I want / to put it away -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 치우고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
16,1,A1,survival chunks,asking,1,16,I want to pick it up,그걸 집어 들고 싶다,My teacher wants to pick it up.,이 예문은 '그걸 집어 들고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to pick it up. / B: Of course. Give me a moment.,A: 그걸 집어 들고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to pick it up,I want ____ pick it up | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 집어 들고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to pick it up'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 집어 들고 싶다 -> 2 끊어 읽기: I want / to pick it up -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 집어 들고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
17,1,A1,survival chunks,asking,1,17,I want to drop it off,그걸 맡겨 두고 싶다,My manager wants to drop it off.,이 예문은 '그걸 맡겨 두고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to drop it off. / B: Of course. Give me a moment.,A: 그걸 맡겨 두고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to drop it off,I want ____ drop it off | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그걸 맡겨 두고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to drop it off'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그걸 맡겨 두고 싶다 -> 2 끊어 읽기: I want / to drop it off -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그걸 맡겨 두고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
18,1,A1,survival chunks,asking,1,18,I want to call them back,그들에게 다시 전화하고 싶다,The customer wants to call them back.,이 예문은 '그들에게 다시 전화하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to call them back. / B: Of course. Give me a moment.,A: 그들에게 다시 전화하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to call them back,I want ____ call them back | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그들에게 다시 전화하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to call them back'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그들에게 다시 전화하고 싶다 -> 2 끊어 읽기: I want / to call them back -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그들에게 다시 전화하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
19,1,A1,survival chunks,asking,1,19,I want to text them,그들에게 문자하고 싶다,The team wants to text them.,이 예문은 '그들에게 문자하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to text them. / B: Of course. Give me a moment.,A: 그들에게 문자하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to text them,I want ____ text them | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그들에게 문자하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to text them'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그들에게 문자하고 싶다 -> 2 끊어 읽기: I want / to text them -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그들에게 문자하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
20,1,A1,survival chunks,asking,1,20,I want to email them,그들에게 이메일하고 싶다,Everyone wants to email them.,이 예문은 '그들에게 이메일하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to email them. / B: Of course. Give me a moment.,A: 그들에게 이메일하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to email them,I want ____ email them | answer: to,"원하는 것, 허락, 부탁을 말할 때: '그들에게 이메일하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to email them'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 그들에게 이메일하고 싶다 -> 2 끊어 읽기: I want / to email them -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '그들에게 이메일하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
21,1,A1,survival chunks,asking,1,21,I want to ask for help,도움을 요청하고 싶다,I want to ask for help.,이 예문은 '도움을 요청하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to ask for help. / B: Of course. Give me a moment.,A: 도움을 요청하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to ask for help,I want ____ ask for help | answer: to,"원하는 것, 허락, 부탁을 말할 때: '도움을 요청하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to ask for help'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 도움을 요청하고 싶다 -> 2 끊어 읽기: I want / to ask for help -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '도움을 요청하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
22,1,A1,survival chunks,asking,1,22,I want to give it a try,한번 시도해보고 싶다,You want to give it a try.,이 예문은 '한번 시도해보고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to give it a try. / B: Of course. Give me a moment.,A: 한번 시도해보고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want to / give it a / try,I want ____ give it a try | answer: to,"원하는 것, 허락, 부탁을 말할 때: '한번 시도해보고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to give it a try'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 한번 시도해보고 싶다 -> 2 끊어 읽기: I want to / give it a / try -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '한번 시도해보고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
23,1,A1,survival chunks,asking,1,23,I want to take a break,잠깐 쉬고 싶다,We want to take a break.,이 예문은 '잠깐 쉬고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to take a break. / B: Of course. Give me a moment.,A: 잠깐 쉬고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to take a break,I want ____ take a break | answer: to,"원하는 것, 허락, 부탁을 말할 때: '잠깐 쉬고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to take a break'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 잠깐 쉬고 싶다 -> 2 끊어 읽기: I want / to take a break -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '잠깐 쉬고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
24,1,A1,survival chunks,asking,1,24,I want to get some rest,좀 쉬고 싶다,They want to get some rest.,이 예문은 '좀 쉬고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to get some rest. / B: Of course. Give me a moment.,A: 좀 쉬고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to get some rest,I want ____ get some rest | answer: to,"원하는 것, 허락, 부탁을 말할 때: '좀 쉬고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to get some rest'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 좀 쉬고 싶다 -> 2 끊어 읽기: I want / to get some rest -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '좀 쉬고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
25,1,A1,survival chunks,asking,1,25,I want to make a decision,결정하고 싶다,My friend wants to make a decision.,이 예문은 '결정하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to make a decision. / B: Of course. Give me a moment.,A: 결정하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to make a decision,I want ____ make a decision | answer: to,"원하는 것, 허락, 부탁을 말할 때: '결정하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to make a decision'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 결정하고 싶다 -> 2 끊어 읽기: I want / to make a decision -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '결정하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
26,1,A1,survival chunks,asking,1,26,I want to change my mind,마음을 바꾸고 싶다,My teacher wants to change my mind.,이 예문은 '마음을 바꾸고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to change my mind. / B: Of course. Give me a moment.,A: 마음을 바꾸고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to change my mind,I want ____ change my mind | answer: to,"원하는 것, 허락, 부탁을 말할 때: '마음을 바꾸고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to change my mind'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 마음을 바꾸고 싶다 -> 2 끊어 읽기: I want / to change my mind -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '마음을 바꾸고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
27,1,A1,survival chunks,asking,1,27,I want to save some time,시간을 절약하고 싶다,My manager wants to save some time.,이 예문은 '시간을 절약하고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to save some time. / B: Of course. Give me a moment.,A: 시간을 절약하고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to save some time,I want ____ save some time | answer: to,"원하는 것, 허락, 부탁을 말할 때: '시간을 절약하고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to save some time'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 시간을 절약하고 싶다 -> 2 끊어 읽기: I want / to save some time -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '시간을 절약하고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
28,1,A1,survival chunks,asking,1,28,I want to spend more time,시간을 더 쓰고 싶다,The customer wants to spend more time.,이 예문은 '시간을 더 쓰고 싶다'라는 뜻으로 일상 대화에서 바로 쓴다.,A: I want to spend more time. / B: Of course. Give me a moment.,A: 시간을 더 쓰고 싶다. / B: 물론이죠. 잠깐만요.,"원하는 것, 허락, 부탁을 말할 때",want to + 동사,I want / to spend more time,I want ____ spend more time | answer: to,"원하는 것, 허락, 부탁을 말할 때: '시간을 더 쓰고 싶다'를 영어 표현으로 떠올리기","입으로 먼저 'I want to spend more time'를 한 덩어리로 말하고, 뒤에 목적어만 바꿔 붙인다.",to 뒤에는 동사원형이 온다.,1 뜻 보기: 시간을 더 쓰고 싶다 -> 2 끊어 읽기: I want / to spend more time -> 3 가리고 말하기 -> 4 내 상황으로 한 문장 바꾸기,L1|asking|daily|to-infinitive,"원하는 것, 허락, 부탁을 말할 때, '시간을 더 쓰고 싶다'라는 뜻이 되도록 영어로 말해 보세요."
